_id,url,nama_pengguna,title,pertanyaan,teman,total_jawaban,total_tercerdas,terima_kasih,total_tercerdas_matematika,total_tercerdas_ppkn,total_tercerdas_ips,total_tercerdas_biologi,total_tercerdas_fisika,total_tercerdas_sejarah,total_tercerdas_binggris,total_tercerdas_seni,total_tercerdas_kimia,total_tercerdas_geografi,total_tercerdas_ti,total_tercerdas_ekonomi,total_tercerdas_barab,total_tercerdas_daerah,total_tercerdas_penjaskes,total_tercerdas_sosiologi,total_tercerdas_blain,total_tercerdas_wirausaha,total_tercerdas_akuntansi,total_tercerdas_bjepang,total_tercerdas_bmandarin,total_tercerdas_bperancis,total_jawaban_matematika,total_jawaban_ppkn,total_jawaban_ips,total_jawaban_biologi,total_jawaban_fisika,total_jawaban_sejarah,total_jawaban_binggris,total_jawaban_seni,total_jawaban_kimia,total_jawaban_geografi,total_jawaban_ti,total_jawaban_ekonomi,total_jawaban_barab,total_jawaban_bdaerah,total_jawaban_penjaskes,total_jawaban_sosiologi,total_jawaban_blain,total_jawaban_wirausaha,total_jawaban_akuntansi,total_jawaban_bjepang,total_jawaban_bmandarin,total_jawaban_bperancis,total_jawaban_bindonesia,total_tercerdas_bindonesia,total_jawaban_sbmptn,total_tercerdas_sbmptn,poin,tingkat,bergabung
5f679f5d27c9b05b708abde3,https://brainly.co.id/app/profile/158975,Sarahanifah,"[""Si Hebat""]",113,134,1259,132,102,55,9,7,15,20,4,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,406,131,76,162,119,33,37,0,63,0,0,0,37,0,0,0,0,0,0,0,0,0,92,4,,,18805,Sekolah Menengah Atas,6 Juni 2014
5f679f5d27c9b05b708abde4,https://brainly.co.id/app/profile/36706,meuthiaharahap,"[""Terpelajar""]",40,52,150,31,18,16,1,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,8,10,12,2,42,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,,,2346,Sekolah Menengah Atas,12 Februari 2014
5f679f5d27c9b05b708abde5,https://brainly.co.id/app/profile/1008168,fatimahkodijah,"[""Si Hebat""]",64,296,978,95,181,8,18,6,16,10,8,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,108,188,149,126,87,56,0,33,0,36,0,0,26,0,0,0,0,0,0,0,0,0,99,7,,,17782,Sekolah Menengah Atas,14 Desember 2014
5f679f5d27c9b05b708abde6,https://brainly.co.id/app/profile/1399429,fatihahalhusna,"[""Brainly Bachelor"",""Jenius""]",3,197,2994,478,375,186,0,2,1,89,0,0,0,199,0,0,0,1,0,0,0,0,0,0,0,0,0,920,1,2,9,561,1,0,0,1489,0,1,0,9,0,0,0,0,0,0,0,0,0,1,,,,27464,Sekolah Menengah Atas,26 April 2015
5f679f5d27c9b05b708abde7,https://brainly.co.id/app/profile/846037,HabibahR,"[""Terpelajar""]",3,11,157,16,12,0,0,0,1,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,2,0,4,0,134,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1936,Sekolah Menengah Atas,9 November 2014
5f679f5d27c9b05b708abde8,https://brainly.co.id/app/profile/623616,Anoryle,"[""Si Hebat""]",71,382,1080,112,121,37,10,16,16,10,5,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,408,84,144,86,135,51,0,21,0,24,0,0,12,0,0,0,0,0,0,0,0,0,67,7,,,26822,Sekolah Menengah Atas,6 Oktober 2014
5f679f5d27c9b05b708abde9,https://brainly.co.id/app/profile/1133935,Avicennaa,"[""Brainly Bachelor"",""Jenius""]",0,82,1737,279,196,268,1,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1652,5,10,7,40,0,1,4,0,9,3,0,0,0,0,0,0,0,0,0,0,0,4,,,,14736,Sekolah Menengah Atas,2 Februari 2015
5f679f5d27c9b05b708abdea,https://brainly.co.id/app/profile/1535234,KrisantiEkaY,"[""Pemula""]",5,2,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,90,Sekolah Menengah Atas,8 Juni 2015
5f679f5d27c9b05b708abdeb,https://brainly.co.id/app/profile/831801,AghaJaiza,"[""Jenius""]",32,200,1246,128,132,6,12,25,28,2,11,0,10,0,3,7,0,0,0,0,0,0,0,0,0,0,0,50,140,220,186,65,180,0,64,0,35,36,0,0,0,0,0,0,0,0,0,0,0,162,13,,,44705,Sekolah Menengah Atas,6 November 2014
5f679f5d27c9b05b708abdec,https://brainly.co.id/app/profile/1536715,NabielG,"[""Ambisius""]",0,30,32,4,51,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,,,13347,Sekolah Menengah Atas,8 Juni 2015
5f679f5d27c9b05b708abded,https://brainly.co.id/app/profile/146454,inoid,"[""Si Hebat""]",3,75,496,78,62,67,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,429,1,0,2,50,1,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,11623,Sekolah Menengah Atas,30 Mei 2014
5f679f5d27c9b05b708abdee,https://brainly.co.id/app/profile/1356500,Febriana422,"[""Si Hebat""]",4,294,567,52,55,4,6,3,12,5,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,62,70,115,30,73,18,29,0,24,0,0,0,0,0,0,0,0,0,0,0,0,48,4,,,5837,Sekolah Menengah Atas,11 April 2015
5f679f5d27c9b05b708abdef,https://brainly.co.id/app/profile/1666724,jimmyrandaputraajja,"[""Pemula""]",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,35,Sekolah Menengah Atas,12 Agustus 2015
5f679f5d27c9b05b708abdf0,https://brainly.co.id/app/profile/1602347,ardissepti,"[""Si Hebat""]",0,29,235,28,23,7,1,4,6,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,76,10,37,15,15,13,27,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,11,2,,,12152,Sekolah Menengah Atas,2 Agustus 2015
5f679f5d27c9b05b708abdf1,https://brainly.co.id/app/profile/1712279,nikmahmaharani,"[""Gemar Membantu""]",1,3,9,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,205,Sekolah Menengah Atas,21 Agustus 2015
5f679f5d27c9b05b708abdf2,https://brainly.co.id/app/profile/1723694,mayayenie123,"[""Pemula""]",6,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,91,Sekolah Menengah Atas,23 Agustus 2015
